Borough,median_burden_pct_2009,median_burden_pct_2019,median_burden_pct_2023,mean_burden_pct_2009,mean_burden_pct_2019,mean_burden_pct_2023,n_2009,n_2019,n_2023,hhwt_sum_2009,hhwt_sum_2019,hhwt_sum_2023,median_change_2009_2023,median_change_2019_2023,mean_change_2009_2023,mean_change_2019_2023
Bronx,2.8000000000000003,2.92207792207792,3.73121131741821,6.223876267957099,11.931057521321566,9.804585715262604,2582,8264,6261,321513,836552,612180,0.9312113174182097,0.8091333953402899,3.5807094473055052,-2.1264718060589622
Brooklyn,2.75409836065574,2.57645259938838,3.92,19.09212830750687,6.423721561702821,10.460208618232025,6121,10670,1105,689729,1127983,85913,1.16590163934426,1.34354740061162,-8.631919689274843,4.036487056529205
Manhattan,0.9176470588235299,0.8469591812727909,3.8153846153846196,2.8585259955580598,3.6993398643456246,88.1523667663664,5147,5150,2058,653397,737510,213056,2.89773755656109,2.9684254341118286,85.29384077080834,84.45302690202078
Queens,2.92173913043478,2.7027027027027,1.5875,8.199030268059005,8.456270866361018,5.160908392383153,5736,15134,5290,667964,1614550,729124,-1.33423913043478,-1.1152027027027,-3.038121875675852,-3.2953624739778657
Staten Island,4.444444444444439,3.34494773519164,2.7789473684210497,8.58466953543093,7.007748822773793,6.13887603585334,1257,1291,1364,146477,145497,139859,-1.6654970760233896,-0.5660003667705902,-2.44579349957759,-0.8688727869204538
NYC overall,2.26415094339623,2.40963855421687,2.75109170305677,9.58876587257482,7.76043556498049,17.023315728355517,20843,40509,16078,2479080,4462092,1780132,0.48694075966053996,0.34145314883989997,7.434549855780697,9.262880163375026
