Borough,median_burden_pct_2017,median_burden_pct_2023,mean_burden_pct_2017,mean_burden_pct_2023,n_2017,n_2023,hhwt_sum_2017,hhwt_sum_2023,median_change_pct_points,mean_change_pct_points
Bronx,2.9071332436070003,3.73121131741821,8.430127433822667,9.804585715262604,8140,6261,815036,612180,0.8240780738112097,1.3744582814399369
Brooklyn,2.71300448430493,3.92,7.838123581468831,10.460208618232025,10488,1105,1072417,85913,1.2069955156950698,2.6220850367631945
Manhattan,0.9627659574468079,3.8153846153846196,4.8957887846258545,88.1523667663664,4800,2058,718370,213056,2.8526186579378114,83.25657798174055
Queens,2.76923076923077,1.5875,6.63935003369793,5.160908392383153,14943,5290,1558748,729124,-1.1817307692307701,-1.4784416413147774
Staten Island,3.7095501183899002,2.7789473684210497,12.881244729259944,6.13887603585334,1263,1364,143907,139859,-0.9306027499688505,-6.742368693406604
NYC overall,2.51046025104603,2.75109170305677,7.194270686960229,17.023315728355517,39634,16078,4308478,1780132,0.24063145201074,9.829045041395288
