YEAR,CPUMA0010,Area,PUMA_components,n,hhwt_sum,median_water_burden,median_water_burden_pct,mean_water_burden_capped,mean_water_burden_capped_pct
2016,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",281,33748,0.006486486486486487,0.6486486486486487,0.011047576309058952,1.1047576309058953
2016,490,Flint city area,Genesee County (Central)--Flint City Area,140,18160,0.018750000000000003,1.8750000000000002,0.023132035405696687,2.3132035405696687
2017,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",268,33129,0.0068914956011730194,0.689149560117302,0.01052803845187985,1.0528038451879849
2017,490,Flint city area,Genesee County (Central)--Flint City Area,165,24824,0.0208768267223382,2.08768267223382,0.025722410373089068,2.5722410373089066
2018,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",255,31800,0.007361111111111111,0.736111111111111,0.012571126540245375,1.2571126540245374
2018,490,Flint city area,Genesee County (Central)--Flint City Area,150,24323,0.020425531914893613,2.042553191489361,0.0253492937733136,2.53492937733136
2019,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",277,30579,0.007751937984496126,0.7751937984496126,0.012726136924200155,1.2726136924200155
2019,490,Flint city area,Genesee County (Central)--Flint City Area,144,20833,0.01754385964912281,1.754385964912281,0.021636163693560046,2.1636163693560047
2020,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",257,33095,0.007741935483870968,0.7741935483870968,0.011362924418553825,1.1362924418553826
2020,490,Flint city area,Genesee County (Central)--Flint City Area,157,26795,0.02222222222222222,2.222222222222222,0.023331548960554036,2.3331548960554036
2021,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",271,34840,0.006889763779527558,0.6889763779527558,0.012423283040491057,1.2423283040491058
2021,490,Flint city area,Genesee County (Central)--Flint City Area,148,21811,0.02230483271375465,2.2304832713754648,0.025585818573767932,2.5585818573767933
