CPUMA0010,Borough,Label,households,hhwt_sum,median_util_burden,median_burden_pct,mean_util_burden_capped,median_burden_index
702,Bronx,"Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",291,32480,2.11227296587926,211.227296587926,4.164111143541192,150.3188709544385
703,Bronx,"Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",285,34520,1.8695644599303134,186.95644599303134,3.6155393140419534,133.04663901537305
704,Bronx,"Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",270,44172,2.9998299999999998,299.983,4.2807373226580605,213.4814325323468
705,Bronx,"Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",348,36151,2.235488888888889,223.54888888888888,3.7516814593791583,159.08747176011445
706,Bronx,"Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",180,28854,4.33507559395248,433.507559395248,6.815254304482761,308.50353117776325
707,Bronx,"Bronx Community District 7--Bedford Park, Fordham North & Norwood",181,30947,3.39323333333333,339.32333333333304,5.1657460128724955,241.47778804682582
708,Bronx,"Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",129,23763,4.035699999999999,403.56999999999994,6.481878965235196,287.19861367837234
709,Bronx,"Bronx Community District 4--Concourse, Highbridge & Mount Eden",121,26697,3.361803797468354,336.1803797468354,5.150599920796999,239.2411205222388
710,Bronx,"Bronx Community District 9--Castle Hill, Clason Point & Parkchester",325,44584,3.23266163793103,323.266163793103,5.318049181099912,230.0507819969394
711,Bronx,"Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",163,27558,4.19154166666667,419.15416666666704,6.011518140838878,298.28900955021487
712,Manhattan,"Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",385,52911,2.6503947368421055,265.0394736842105,4.596458027696194,188.61404319486266
713,Manhattan,"Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",256,35827,2.514925,251.49249999999998,4.935393919043664,178.97340573012877
714,Manhattan,Manhattan Community District 10--Central Harlem,302,40572,3.30213114754098,330.213114754098,5.765515743795823,234.99454561982864
715,Manhattan,Manhattan Community District 11--East Harlem,240,33028,3.43763202725724,343.763202725724,6.0443035731332895,244.63739935194693
716,Manhattan,Manhattan Community District 8--Upper East Side,537,95580,1.34766666666667,134.766666666667,2.68043156713813,95.90603820086251
717,Manhattan,Manhattan Community District 7--Upper West Side & West Side,442,89507,1.30504229017567,130.50422901756698,3.0475658572304267,92.87269532673405
718,Manhattan,"Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",493,78257,1.65780165289256,165.78016528925602,3.8385506469509227,117.97664258107828
719,Manhattan,"Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",386,74763,1.3884702615135383,138.84702615135382,3.250764419629782,98.80980604116642
720,Manhattan,Manhattan Community District 3--Chinatown & Lower East Side,356,45522,2.16208602150538,216.208602150538,4.148505940019484,153.86379265796091
721,Manhattan,"Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",511,69099,1.15756616800921,115.756616800921,2.489707157300117,82.3776293315239
722,Staten Island,"Staten Island Community District 3--Tottenville, Great Kills & Annadale",408,56293,0.056707317073170734,5.670731707317073,0.7524725061520847,4.035548442360565
723,Staten Island,Staten Island Community District 2--New Springville & South Beach,349,40724,0.12531645569620253,12.531645569620252,1.1477662262284745,8.9180841854044
724,Staten Island,"Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor",443,48661,0.0884792626728111,8.84792626728111,1.5761425940462221,6.296583387991157
725,Brooklyn,Brooklyn Community District 1--Greenpoint & Williamsburg,475,59809,1.04303626943005,104.30362694300499,2.582264722669693,74.22716519973527
726,Brooklyn,Brooklyn Community District 4--Bushwick,241,34965,1.5265358490566039,152.65358490566038,3.163396661581,108.63517594949916
727,Brooklyn,Brooklyn Community District 3--Bedford-Stuyvesant,269,37359,1.2839620253164556,128.39620253164557,3.0345217480536077,91.37252860385097
728,Brooklyn,Brooklyn Community District 2--Brooklyn Heights & Fort Greene,606,60158,1.04033846153846,104.03384615384601,2.530705588296305,74.03517702260736
729,Brooklyn,"Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",475,45702,0.63773125,63.773125,1.4615779304457783,45.38383202402942
730,Brooklyn,Brooklyn Community District 8--Crown Heights North & Prospect Heights,341,47477,1.3556399999999995,135.56399999999996,3.2757046852022635,96.473456561922
731,Brooklyn,Brooklyn Community District 16--Brownsville & Ocean Hill,147,29644,2.752211009174312,275.2211009174312,4.846609494019529,195.85974834234872
732,Brooklyn,Brooklyn Community District 5--East New York & Starrett City,215,40446,1.80256685448529,180.256685448529,3.255496696353515,128.278787241559
733,Brooklyn,Brooklyn Community District 18--Canarsie & Flatlands,600,57249,0.17523452157598499,17.5234521575985,1.9008674934182521,12.470478892191126
734,Brooklyn,"Brooklyn Community District 17--East Flatbush, Farragut & Rugby",326,38208,1.2,120,3.166278948561922,85.39741219963003
735,Brooklyn,"Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",249,34288,1.30811538461538,130.811538461538,2.9755573028097437,93.09139058723098
736,Brooklyn,Brooklyn Community District 7--Sunset Park & Windsor Terrace,323,32622,1.22039285714286,122.039285714286,2.5346938717517262,86.84865988909418
737,Brooklyn,Brooklyn Community District 10--Bay Ridge & Dyker Heights,496,37342,0.887870689655172,88.78706896551721,1.8186915975303835,63.1848827203771
738,Brooklyn,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",323,35116,1.2183949191685912,121.83949191685912,2.5894307375571173,86.70647761181257
739,Brooklyn,Brooklyn Community District 14--Flatbush & Midwood,400,45359,1.16017341040462,116.017341040462,2.287198508198039,82.56317245947822
740,Brooklyn,"Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",521,47057,0.799629921259842,79.9629921259842,2.6806087479040692,56.905271660820354
741,Brooklyn,Brooklyn Community District 11--Bensonhurst & Bath Beach,530,50933,1.20179788484136,120.179788484136,2.862852349487932,85.52535779370092
742,Brooklyn,Brooklyn Community District 13--Brighton Beach & Coney Island,276,34106,2.18475054229935,218.475054229935,4.276916669384364,155.47670217841903
743,Queens,Queens Community District 1--Astoria & Long Island City,663,62466,1.77012280701754,177.012280701754,3.3826663875959735,125.96992249570252
744,Queens,Queens Community District 3--Jackson Heights & North Corona,294,40361,1.35763227513228,135.763227513228,2.955543818797786,96.61523584582736
745,Queens,"Queens Community District 7--Flushing, Murray Hill & Whitestone",685,77931,1.66756923076923,166.75692307692302,3.3605801152858947,118.67174747618326
746,Queens,"Queens Community District 11--Bayside, Douglaston & Little Neck",506,40858,0.9132631578947369,91.32631578947368,2.098151190640792,64.99192528456054
747,Queens,"Queens Community District 13--Queens Village, Cambria Heights & Rosedale",639,56625,0.118020304568528,11.8020304568528,1.4339210966630798,8.398857164303719
748,Queens,"Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest / Queens Community District 9--Richmond Hill & Woodhaven",804,84883,1.20462352941176,120.462352941176,2.889079216447692,85.72644340545767
749,Queens,Queens Community District 4--Elmhurst & South Corona,245,30712,2.04706,204.70600000000002,3.846237500077441,145.67802218114554
750,Queens,Queens Community District 6--Forest Hills & Rego Park,427,46749,1.086041884816754,108.6041884816754,2.4349160107795047,77.28763875313287
751,Queens,Queens Community District 2--Sunnyside & Woodside,477,56679,1.68261666666667,168.261666666667,3.303411986082953,119.74259088108424
752,Queens,"Queens Community District 5--Ridgewood, Glendale & Middle Village",595,54483,0.934272300469484,93.4272300469484,1.9040164565433233,66.48703062490759
753,Queens,"Queens Community District 12--Jamaica, Hollis & St. Albans",633,60308,0.336206896551724,33.6206896551724,2.2496490693015705,23.925999107654953
754,Queens,Queens Community District 10--Howard Beach & Ozone Park,312,36174,0.15391791044776101,15.3917910447761,1.85490438028116,10.953492702844322
755,Queens,"Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",237,33041,1.4223016997167142,142.23016997167142,3.8071727429357765,101.21740376911887
